ref,entry
Owens:1985,"Owens, J. (1985). <i>A Grammar of Harar Oromo (Northern Ethiopia)</i>. Hamburg: Buske.."
Pica:1991,"Pica, P. (1991). <i>On the interaction between antecedent-government and binding: the case of long-distance reflexivization</i>. In Koster & Reuland (eds.), Long-distance Anaphora. Cambridge: Cambridge University Press."
Press:1996,"Press, Ian. (1986). <i>A Grammar of Modern Breton</i>. Berlin: Mouton de Gruyter."
Randriamasimanana:1986,"Randriamasimanana, Charles (1986). <i>The Causatives of Malagasy</i>. Honolulu: The University of Hawaii."
Reid&Bishop:1974,"Reid & Bishop (1974). Diccionario Totonaca de Xicotepec de Juárez, Puebla. Mexico D.F.: SIL."
Reuland:2000,"Reuland, E. (2000). <i>The fine structure of grammar: Anaphoric relations</i>. In: Frajzyngier, Z. & Curl, T. (eds.) Reflexives - Forms and Functions. Amsterdam: Benjamins."
Leyn:1991,"Leyn, K. (1991). <i>Russisch-Deutsches W&ouml;rterbuch</i>. K&ouml;ln: Puschkin Verlag."
Saaed:1999,"Saaed, J. (1999). <i>Somali</i>. Amsterdam: Benjamins."
Saltarelli:1988,"Saltarelli, Mario (1988). <i>Basque</i>. London: Routledge."
Schachter:1972,"Schachter, Paul (1972). <i>Tagalog Reference Grammar</i>. Berkeley: University of California Press."
Schamberger&Stoiber:1994,"Schamberger, U. and F. Stoiber (1994). <i>Einführung in das Hausa</i>. Wien: Institut für Afrikanistik und Ägyptologie."
Siméon:1977,"Siméon, Rémi (1977). <i>Diccionario de la Lengua Náhuatl o Mexicana</i>. Madrid: Siglo Veintiuno. (Originally published in Spanish, 1885)."
Senn:1966,"Senn, Alfred (1966). <i>Handbuch der Litauischen Sprache. Band I: Grammatik</i>. Heidelberg: Carl Winter Universitätsverlag."
Strandskogen&Strandskogen:1986,"Strandskogen, Åse-Bertit and Rolf Strandskogen (1986). <i>Norwegian. An Essential Grammar</i>. London: Routledge."
Subbarao&Murthy:2000,"Subbarao, K.V. & B.L. Murthy (2000). <i>Lexical Anaphors and Pronouns in Telugu</i>. In Lust et al. (eds.). Lexical Anaphors and Pronouns in Selected South Asian Languages. 217-273. Berlin: Mouton"
Velten:1910,"Velten, C. (1910).<i>Suaheli-Wörterbuch, I. Teil</i>. Berlin."
Wali et al.:2000,"Wali, K. et al. (2000). Lexical Anaphors and Pronouns in Kashmiri. In: Lust et al. (eds.) Lexical Anaphors and Pronouns in Selected South Asian Languages. Berlin: Mouton de Gruyter."
Wexler&Manzini:1987,"Wexler, K. & R. Manzini (1987). <i>Parameters, binding theory, and learnability</i>. Linguistic Inquiry."
Woollams:1996,"Woollams, Geoffrey (1996). <i>A Grammar of Karo Batak, Sumatra</i>. Pacific Linguistics, Series C, No. 130."
Zribi-Hertz&Rajaonarisoa:1999,"Zribi-Hertz, A. & F. Rajaonarisoa (1999). <i>Reflexive Marking as Noun Incorporation: Evidence from French and Malagasy</i>. Ms., 39 pp. Paris."
Rowlands:1969,"Rowlands, E.C. (1969). <i>Yoruba</i>. London: The English Universities Press."
Mallinson:1999,"Mallinson, G. (1999). <i>Rumanian</i>. London: Croom Helm."
Kornfilt:1997,"Kornfilt, J. (1997). <i>Turkish</i>. London: Routledge."
Daniliuc:2000,"Daniliuc, L. & Daniliuc, R. (2000). <i>Descriptive Romanian Grammar -- An Outline</i>. M&uuml;nchen: LINCOM."
